Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/20/2020,108,6,17,14,31,28,13,9,5,7,1,0,57,51,0,31,9,14,48,2,4,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,2,2,1,5,3,3,1,0,6,11,0,5,0,7,4,1,0
10/12/2020,681,4,37,69,180,119,122,91,59,31,10,0,321,356,4,245,27,107,201,34,67,0,0,0,1,1,0,2,0,0,2,2,0,3,0,1,0,0,0,0,3,3,7,7,7,7,3,0,15,22,0,9,2,12,11,0,3
08/04/2020,369,2,32,50,105,69,53,39,33,16,4,0,202,164,3,176,8,77,76,17,15,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,6,3,8,7,2,0,18,14,0,9,2,15,5,1,0
04/14/2020,665,33,166,16,102,120,122,126,78,51,50,0,355,310,0,255,26,216,103,28,37,0,1,2,1,3,5,9,12,0,11,22,0,8,2,13,10,0,0,3,7,13,19,37,30,29,28,0,71,95,0,58,3,70,27,7,1
12/01/2020,2187,36,128,271,511,424,342,271,201,108,59,0,1167,1013,7,896,74,399,475,71,272,0,0,0,5,5,11,9,6,0,20,16,0,12,1,16,7,0,0,6,6,10,13,21,29,24,19,0,65,63,0,49,1,48,24,4,2
02/13/2021,222,8,27,23,61,41,36,29,20,7,5,0,119,103,0,76,14,47,65,9,11,0,0,0,1,0,1,3,3,0,3,5,0,2,1,1,4,0,0,1,3,0,7,1,4,4,7,0,17,10,0,4,1,9,8,5,0
09/26/2020,233,4,19,26,66,50,32,40,11,7,1,0,105,128,0,104,6,17,75,14,17,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,2,5,1,6,1,3,1,0,13,6,0,6,0,4,7,1,1
10/13/2020,876,5,31,89,249,195,134,108,58,24,19,0,445,428,3,394,17,127,235,36,67,0,0,0,0,0,2,2,1,0,1,4,0,1,0,3,1,0,0,2,3,3,6,5,7,2,3,0,16,15,0,10,1,7,9,3,1
08/14/2020,347,3,26,54,86,64,59,40,26,10,8,0,180,165,2,146,5,72,89,12,23,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,1,1,2,3,3,7,5,4,0,14,12,0,5,0,16,5,0,0
03/21/2020,125,2,62,0,18,25,20,28,16,13,5,0,53,72,0,27,6,62,27,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,7,18,9,14,4,0,23,39,0,12,4,33,11,2,0
