Sport,Season,Type,Location,Opponent,Conference,Day,Month,Outcome,ScoreFor,ScoreAgainst,Length,StreakBeforeMatch,Attend
WSOC,2017,RS,A,Evansville,MVC,Fri,9,W,3,2,FT,W4,N
WSOC,2017,RS,A,PurdueFortWayne,Summit,Sun,9,W,6,1,FT,W5,N
WSOC,2017,RS,H,MissouriState,MVC,Sun,10,W,5,0,FT,W6,N
WSOC,2017,RS,H,Valparaiso,MVC,Sat,10,L,1,2,FT,W7,N
WSOC,2017,RS,A,IllinoisState,MVC,Wed,10,L,3,5,FT,L1,N
WSOC,2017,RS,A,Kentucky,SEC,Sun,10,W,5,2,FT,L2,N
WSOC,2017,RS,H,NorthernIowa,MVC,Sat,10,W,3,2,FT,W1,N
WSOC,2017,RS,A,Drake,MVC,Thu,10,L,0,1,FT,W2,N
WSOC,2017,CT,H,Valparaiso,MVC,Sun,10,W,2,1,FT,L1,N
WSOC,2017,CT,A,MissouriState,MVC,Fri,11,L,0,1,FT,W1,N
WSOC,2018,RS,H,UMassLowell,AE,Fri,8,W,4,2,FT,L1,N
WSOC,2018,RS,A,NotreDame,ACC,Sun,8,L,1,2,FT,W1,N
WSOC,2018,RS,A,LoyolaMarymount,WCC,Fri,8,L,1,2,FT,L1,N
WSOC,2018,RS,A,CSUBakersfield,WAC,Sun,8,W,3,1,FT,L2,N
WSOC,2018,RS,H,PurdueFortWayne,Summit,Fri,8,W,4,0,FT,W1,N
WSOC,2018,RS,H,OklahomaState,B12,Sun,9,L,0,2,FT,W2,N
WSOC,2018,RS,A,DePaul,BE,Thu,9,L,0,1,FT,L1,N
WSOC,2018,RS,A,Wisconsin,B1G,Sun,9,L,1,2,FT,L2,N
WSOC,2018,RS,H,FloridaGulfCoast,ASUN,Sun,9,D,1,1,2ET,L3,N
WSOC,2018,RS,A,NorthernIowa,MVC,Sun,9,W,4,2,FT,D1,N
WSOC,2018,RS,A,IndianaState,MVC,Sat,9,W,4,0,FT,W1,N
WSOC,2018,RS,H,Drake,MVC,Sat,10,W,1,0,FT,W2,N
WSOC,2018,RS,H,IllinoisState,MVC,Sat,10,L,2,3,ET,W3,N
WSOC,2018,RS,A,Valparaiso,MVC,Wed,10,W,2,0,FT,L1,N
WSOC,2018,RS,A,MissouriState,MVC,Sun,10,W,1,0,ET,W1,N
WSOC,2018,RS,H,Evansville,MVC,Thu,10,W,6,1,FT,W2,N
WSOC,2018,CT,H,IllinoisState,MVC,Fri,11,W,2,1,FT,W3,Y
WSOC,2018,CT,H,Drake,MVC,Sun,11,W,3,2,FT,W4,Y
WSOC,2018,NCAA,A,FloridaState,ACC,Fri,11,L,0,1,FT,W5,N
WSOC,2019,RS,A,Illinois,B1G,Thu,8,L,1,3,FT,L1,N
WSOC,2019,RS,A,Kansas,B12,Sun,8,L,0,6,FT,L2,N
WSOC,2019,RS,H,SouthDakota,Summit,Fri,8,W,2,1,FT,L3,N
WSOC,2019,RS,A,BallState,MAC,Sun,9,L,1,2,FT,W1,N
WSOC,2019,RS,H,Wisconsin,B1G,Thu,9,D,1,1,2ET,L1,N
WSOC,2019,RS,A,Missouri,SEC,Sun,9,W,2,1,FT,D1,N
WSOC,2019,RS,H,DePaul,BE,Thu,9,L,0,2,FT,W1,N
WSOC,2019,RS,A,NorthernIllinois,MAC,Sun,9,W,2,0,FT,L1,N
WSOC,2019,RS,A,WesternMichigan,MAC,Fri,9,W,4,1,FT,W1,N
WSOC,2019,RS,A,EasternMichigan,MAC,Sun,9,W,1,0,ET,W2,N
WSOC,2019,RS,A,Drake,MVC,Sat,9,W,3,0,FT,W3,N
WSOC,2019,RS,H,NorthernIowa,MVC,Sat,10,W,3,0,FT,W4,N
WSOC,2019,RS,H,MissouriState,MVC,sat,10,W,2,0,FT,W5,N
WSOC,2019,RS,H,Valparaiso,MVC,Wed,10,W,2,0,FT,W6,N
